Termék neve;Kiszerelés neve;TK szám;Hatóanyag;Forg Eng Jog;ATC kód 1/ATC kód 2;A hiány kezdete;A hiány tervezett vége;A hiány oka;Javaslat a hiánykészítmény pótlására;
"ENAPRIL 10 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-08074/04"";""enalapril"";""HEXAL AG"";""C09AA02"";""2024-09-20 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ENAPRIL 20 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-08074/07"";""enalapril"";""HEXAL AG"";""C09AA02"";""2024-12-19 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ENGERIX-B szuszpenziós injekció felnõtteknek;""100 X 1 ml injekciós üvegben"";""OGYI-T-08261/03"";""vakcina (virális)"";""GlaxoSmithKline Biologicals S.A."";""J07BC01"";""2019-03-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ENTECAVIR PHARMASCIENCE INTERNATIONAL LTD 0,5 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-23649/02"";""entecavir"";""Pharmascience International Ltd."";""J05AF10"";""2025-01-09 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"ENTERO-SPA 0,2 ml gyomornedv-ellenálló lágy kapszula;""24 X   - buborékcsomagolásban"";""OGYI-T-23720/01"";""peppermint oil"";""Opella Healthcare Commercial Kft."";""A03AX15"";""2025-06-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"EPILETAM  250 mg filmtabletta;""100 X   - buborékcsomagolásban"";""OGYI-T-22012/05"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  250 mg filmtabletta;""120 X   - buborékcsomagolásban"";""OGYI-T-22012/06"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  250 mg filmtabletta;""200 X   - buborékcsomagolásban"";""OGYI-T-22012/07"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  250 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-22012/01"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  250 mg filmtabletta;""50 X   - buborékcsomagolásban"";""OGYI-T-22012/02"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  250 mg filmtabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-22012/03"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  250 mg filmtabletta;""80 X   - buborékcsomagolásban"";""OGYI-T-22012/04"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  500 mg filmtabletta;""100 X   - buborékcsomagolásban"";""OGYI-T-22012/12"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  500 mg filmtabletta;""120 X   - buborékcsomagolásban"";""OGYI-T-22012/13"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  500 mg filmtabletta;""200 X   - buborékcsomagolásban"";""OGYI-T-22012/14"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  500 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-22012/08"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  500 mg filmtabletta;""50 X   - buborékcsomagolásban"";""OGYI-T-22012/09"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  500 mg filmtabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-22012/10"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  500 mg filmtabletta;""80 X   - buborékcsomagolásban"";""OGYI-T-22012/11"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  750 mg filmtabletta;""100 X   - buborékcsomagolásban"";""OGYI-T-22012/19"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  750 mg filmtabletta;""120 X   - buborékcsomagolásban"";""OGYI-T-22012/20"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  750 mg filmtabletta;""200 X   - buborékcsomagolásban"";""OGYI-T-22012/21"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  750 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-22012/15"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  750 mg filmtabletta;""50 X   - buborékcsomagolásban"";""OGYI-T-22012/16"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  750 mg filmtabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-22012/17"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM  750 mg filmtabletta;""80 X   - buborékcsomagolásban"";""OGYI-T-22012/18"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM 1000 mg filmtabletta;""100 X   - buborékcsomagolásban"";""OGYI-T-22012/26"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM 1000 mg filmtabletta;""120 X   - buborékcsomagolásban"";""OGYI-T-22012/27"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM 1000 mg filmtabletta;""200 X   - buborékcsomagolásban"";""OGYI-T-22012/28"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM 1000 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-22012/22"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM 1000 mg filmtabletta;""50 X   - buborékcsomagolásban"";""OGYI-T-22012/23"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM 1000 mg filmtabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-22012/24"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPILETAM 1000 mg filmtabletta;""80 X   - buborékcsomagolásban"";""OGYI-T-22012/25"";""levetiracetam"";""Egis Gyógyszergyár Zrt."";""N03AX14"";""2017-08-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"EPIRUBICIN ACCORD 2 mg/ml oldatos injekció vagy infúzió;""1 X 100 ml ampulla"";""OGYI-T-21045/04"";""epirubicin"";""Accord Healthcare Polska Sp. z o.o."";""L01DB03"";""2022-05-10 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Egyedi import"";"
"EPIRUBICIN ACCORD 2 mg/ml oldatos injekció vagy infúzió;""1 X 5 ml ampulla"";""OGYI-T-21045/01"";""epirubicin"";""Accord Healthcare Polska Sp. z o.o."";""L01DB03"";""2022-05-10 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Egyedi import"";"
"EPIRUBICIN SANDOZ 2 mg/ml koncentrátum oldatos injekcióhoz és infúzióhoz;""1 X 50 ml injekciós üvegben"";""OGYI-T-08243/03"";""epirubicin"";""Sandoz Hungária Kft."";""L01DB03"";""2022-05-10 00:00:00"";""2025-12-21 00:00:00"";""Piaci megfontolások"";""Azonos hatóanyag"
"ERGOTOP 30 mg filmtabletta;""28 X   - buborékcsomagolásban"";""OGYI-T-05907/01"";""nicergoline"";""Kwizda Pharma GmbH"";""C04AE02"";""2025-10-09 00:00:00"";""2025-11-15 00:00:00"";""Szállítási vagy raktározási gondok"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ERLOTINIB KRKA 100 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-23664/03"";""erlotinib"";""Krka d.d."
"ERLOTINIB KRKA 150 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-23664/05"";""erlotinib"";""Krka d.d."
"ERTAPENEM APTAPHARMA 1 g por oldatos infúzióhoz való koncentrátumhoz;""10 X   - injekciós üvegben"";""OGYI-T-23366/02"";""ertapenem sodium"";""Apta Medica Internacional d.o.o."";""J01DH03"";""2025-11-03 00:00:00"";""2025-11-25 00:00:00"";""Szállítási vagy raktározási gondok"";""Azonos hatóanyag"
"ESCITALOPRAM-ZENTIVA 10 mg szájban diszpergálódó tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-22574/16"";""escitalopram oxalate"";""Zentiva"
"ESOMEPRAZOL ACTAVIS 20 mg gyomornedv-ellenálló tabletta;""28 X   - buborékcsomagolásban"";""OGYI-T-22400/04"";""esomeprazole"";""Actavis Group PTC ehf."";""A02BC05"";""2025-08-19 00:00:00"";""2025-12-12 00:00:00"";""Megnövekedett igény"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ESOMEPRAZOL ACTAVIS 40 mg gyomornedv-ellenálló tabletta;""28 X   - buborékcsomagolásban"";""OGYI-T-22400/15"";""esomeprazole"";""Actavis Group PTC ehf."";""A02BC05"";""2025-10-14 00:00:00"";""2025-11-30 00:00:00"";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ESTROKAD 0,03 mg hüvelykúp;""10 X   - fóliacsík"";""OGYI-T-08152/02"";""estriol"";""Dr. Kade Pharmazeutische Fabrik GmbH"";""G03CA04"";""2024-05-02 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"ESTROKAD hüvelykrém;""1 X 25 g Al tubusban"";""OGYI-T-08152/01"";""estriol"";""Dr. Kade Pharmazeutische Fabrik GmbH"";""G03CA04"";""2024-05-02 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"EUROVIT C-vitamin 100 mg rágótabletta;""60 X   - tartályban"";""OGYI-T-09737/02"";""ascorbic acid"";""Teva Gyógyszergyár Zrt."";""A11GA01"";""2025-07-18 00:00:00"";"""";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"EUROVIT C-vitamin 500 mg rágótabletta;""30 X   - tartályban"";""OGYI-T-09737/03"";""ascorbic acid"";""Teva Gyógyszergyár Zrt."";""A11GA01"";""2021-06-30 00:00:00"";"""";""Hatóanyag"
"EUROVIT C-vitamin 500 mg rágótabletta;""60 X   - tartályban"";""OGYI-T-09737/04"";""ascorbic acid"";""Teva Gyógyszergyár Zrt."";""A11GA01"";""2021-06-30 00:00:00"";"""";""Hatóanyag"
"EXODERIL 10 mg/ml külsõleges oldat;""1 X 10 ml üvegben"";""OGYI-T-06532/01"";""naftifine"";""Sandoz GmbH"";""D01AE22"";""2025-05-28 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"EZETIMIBE/ATORVASTATIN SANDOZ 10 mg/40 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-23955/09"";""ezetimibe;atorvastatin"";""Sandoz Hungária Kft."";""C10BA05"";""2024-05-31 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Ebixa 10 mg filmtabletta;""28 X   - buborékcsomagolásban"";""EU/1/02/219/007"";""memantine"";""Lundbeck A/S"";""N06DX01"";""2020-05-08 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Ebixa 10 mg filmtabletta;""56 X   - buborékcsomagolásban"";""EU/1/02/219/008"";""memantine"";""Lundbeck A/S"";""N06DX01"";""2019-11-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Ebixa 5 mg/kipumpált adag, belsõleges oldat;""1 X 50 g -"";""EU/1/02/219/005"";""memantine"";""Lundbeck A/S"";""N06DX01"";""2016-05-19 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"Elonva 100 mikrogramm oldatos injekció;""1 X   - elõretöltött fecskendõben"";""EU/1/09/609/001"";""corifollitropin alfa"";""N.V. Organon"";""G03GA09"";""2018-11-05 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Elonva 150 mikrogramm oldatos injekció;""1 X   - elõretöltött fecskendõben"";""EU/1/09/609/002"";""corifollitropin alfa"";""N.V. Organon"";""G03GA09"";""2018-11-05 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Epivir 150 mg filmtabletta;""60 X   - tartályban"";""EU/1/96/015/001"";""lamivudine"";""ViiV Healthcare B.V. "";""J05AF05"";""2025-07-09 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"Eporatio  2000 NE/0,5 ml oldatos injekció elõretöltött fecskendõben;""6 X 0.5 ml elõretöltött fecskendõben"";""EU/1/09/573/003"";""epoetin theta"";""Ratiopharm GmbH"";""B03XA01"";""2015-08-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"Eporatio  2000 NE/0,5 ml oldatos injekció elõretöltött fecskendõben;""6 X 0.5 ml elõretöltött fecskendõben"";""EU/1/09/573/004"";""epoetin theta"";""Ratiopharm GmbH"";""B03XA01"";""2015-08-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"Eporatio  3000 NE/0,5 ml oldatos injekció elõretöltött fecskendõben;""6 X 0.5 ml elõretöltött fecskendõben"";""EU/1/09/573/005"";""epoetin theta"";""Ratiopharm GmbH"";""B03XA01"";""2015-08-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"Eporatio  3000 NE/0,5 ml oldatos injekció elõretöltött fecskendõben;""6 X 0.5 ml elõretöltött fecskendõben"";""EU/1/09/573/006"";""epoetin theta"";""Ratiopharm GmbH"";""B03XA01"";""2015-08-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"Eporatio  5000 NE/0,5 ml oldatos injekció elõretöltött fecskendõben;""6 X 0.5 ml elõretöltött fecskendõben"";""EU/1/09/573/009"";""epoetin theta"";""Ratiopharm GmbH"";""B03XA01"";""2015-08-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"Eporatio  5000 NE/0,5 ml oldatos injekció elõretöltött fecskendõben;""6 X 0.5 ml elõretöltött fecskendõben"";""EU/1/09/573/010"";""epoetin theta"";""Ratiopharm GmbH"";""B03XA01"";""2015-08-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"Eporatio 30000 NE/1 ml oldatos injekció elõretöltött fecskendõben;""4 X 1 ml elõretöltött fecskendõben"";""EU/1/09/573/041"";""epoetin theta"";""Ratiopharm GmbH"";""B03XA01"";""2025-04-15 00:00:00"";""2026-01-15 00:00:00"";""Gyártási gond"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"Erelzi 50 mg oldatos injekció elõretöltött fecskendõben;""4 X 1 ml elõretöltött fecskendõben"";""EU/1/17/1195/007"";""etanercept"";""Sandoz GmbH"";""L04AB01"";""2023-11-28 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"Esbriet 267 mg kemény kapszula;""252 X 1 - adagonként perforált buborékcsomagolásban"";""EU/1/11/667/002"";""pirfenidone"";""Roche Registration GmbH"";""L04AX05"";""2022-01-31 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"Exforge HCT  5 mg/160 mg/12,5 mg filmtabletta;""28 X  - buborékcsomagolásban"";""EU/1/09/569/002"";""amlodipine;valsartan;hydrochlorothiazide"";""Novartis Europharm Limited"";""C09DX01"";""2018-10-10 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Extavia 250 mikrogramm/ml por és oldószer oldatos injekcióhoz;""15 X   - injekciós üvegben"";""EU/1/08/454/008"";""interferon beta-1b"";""Novartis Europharm Limited"";""L03AB08"";""2019-03-15 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"FALVEN  75 mg retard kemény kapszula;""10 X   - buborékcsomagolásban"";""OGYI-T-20411/13"";""venlafaxine"";""Teva Gyógyszergyár Zrt."";""N06AX16"";""2015-10-05 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"FALVEN  75 mg retard kemény kapszula;""100 X   - HDPE tartályban"";""OGYI-T-20411/22"";""venlafaxine"";""Teva Gyógyszergyár Zrt."";""N06AX16"";""2015-10-05 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"FALVEN  75 mg retard kemény kapszula;""100 X   - buborékcsomagolásban"";""OGYI-T-20411/21"";""venlafaxine"";""Teva Gyógyszergyár Zrt."";""N06AX16"";""2015-10-05 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"FALVEN  75 mg retard kemény kapszula;""100 X 1 - buborékcsomagolásban"";""OGYI-T-20411/23"";""venlafaxine"";""Teva Gyógyszergyár Zrt."";""N06AX16"";""2015-10-05 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"FALVEN  75 mg retard kemény kapszula;""14 X   - buborékcsomagolásban"";""OGYI-T-20411/14"";""venlafaxine"";""Teva Gyógyszergyár Zrt."";""N06AX16"";""2015-10-05 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"FALVEN  75 mg retard kemény kapszula;""20 X   - buborékcsomagolásban"";""OGYI-T-20411/15"";""venlafaxine"";""Teva Gyógyszergyár Zrt."";""N06AX16"";""2015-10-05 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"FALVEN  75 mg retard kemény kapszula;""250 X   - HDPE tartályban"";""OGYI-T-20411/24"";""venlafaxine"";""Teva Gyógyszergyár Zrt."";""N06AX16"";""2015-10-05 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"FALVEN  75 mg retard kemény kapszula;""28 X   - buborékcsomagolásban"";""OGYI-T-20411/16"";""venlafaxine"";""Teva Gyógyszergyár Zrt."";""N06AX16"";""2015-10-05 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"FALVEN  75 mg retard kemény kapszula;""30 X   - buborékcsomagolásban"";""OGYI-T-20411/17"";""venlafaxine"";""Teva Gyógyszergyár Zrt."";""N06AX16"";""2015-10-05 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
